"agent_file","path","classes","functions","imports_top","env_vars","tags","capabilities","readiness","gaps"
"abtestingia.py",".\agents\marketing\abtestingia.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, ABTestingAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _validation_err, _compliance_blocked, health_check, _self_test_examples","time, hashlib, json, math, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer","","Meta(FB/IG)","A/B Testing | Reportes/Métricas | Políticas/Compliance | Orquestación","61","Meta: No se ve access_token (necesario para Graph API).  |  Meta: No se ve facebook_business SDK ni llamadas HTTP a Graph API."
"abtestingimpactia.py",".\agents\marketing\abtestingimpactia.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, ABTestingImpactAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _compliance_blocked, health_check, _self_test_examples","timedatetime typing enum .layers.decision_layer_v2 .layers.error_handling_layer .layers.compliance_layer .layers.business_impact_layer .layers.audit_trail_layer nadakki_operative_final","","Generic","A/B Testing | Políticas/Compliance | Orquestación","100",""
"attributionmodelia.py",".\agents\marketing\attributionmodelia.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, AttributionModelAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _compliance_blocked, health_check, _self_test_examples","timedatetime typing enum .layers.decision_layer_v2 .layers.error_handling_layer .layers.compliance_layer .layers.business_impact_layer .layers.audit_trail_layer nadakki_operative_final","","Generic","Attribution/Modelos | Políticas/Compliance | Orquestación","100",""
"audiencesegmenteria.py",".\agents\marketing\audiencesegmenteria.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, AudienceSegmenterAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _validation_err, _compliance_blocked, health_check, _self_test_examples","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","Generic","Campañas/Ads | Audiencias/Segmentación | Reportes/Métricas | Políticas/Compliance | Orquestación","100",""
"budgetforecastia.py",".\agents\marketing\budgetforecastia.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, BudgetForecastAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _compliance_blocked, health_check, _self_test_examples","timedatetime typing enum .layers.decision_layer_v2 .layers.error_handling_layer .layers.compliance_layer .layers.business_impact_layer .layers.audit_trail_layer nadakki_operative_final","","Generic","Budget/Bids | Políticas/Compliance | Orquestación","100",""
"campaignoptimizeria.py",".\agents\marketing\campaignoptimizeria.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, CampaignOptimizerAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _validation_err, _compliance_blocked, health_check, _self_test_examples","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","Meta(FB/IG)","Campañas/Ads | Budget/Bids | Reportes/Métricas | Políticas/Compliance | Orquestación","61","Meta: No se ve access_token (necesario para Graph API).  |  Meta: No se ve facebook_business SDK ni llamadas HTTP a Graph API."
"campaignstrategyorchestratoria.py",".\agents\marketing\campaignstrategyorchestratoria.py","TaskType, TaskStatus, CircuitBreakerState, AlertSeverity, AlertType, IndustryType, AgentStats, Alert, AgentAllocationDecision, PlannedTask, ExecutionPhase, ExecutionPlan, ExecutionResult, KPIStatus, SmartAgentAllocator, ProactiveAlertSystem, AgentPerformanceTracker, StrategyParser, TaskPlanner, CircuitBreaker, ExecutionEngine, CampaignStrategyOrchestrator, CampaignStrategyOrchestratorAgentOperative","__init__, allocate_agent, get_allocation_summary, clear_log, _get_alerts_path, generate_alert, check_agent_alerts, get_active_alerts, _get_stats_path, _load_stats, _save_stats, record_task_result, get_agent_stats, get_all_stats, get_underperformers, _extract_business_name, _extract_audiences, _extract_objectives, _extract_kpis, _extract_budget, _extract_timeline, _extract_channels, _extract_tactics, _get_seasonal_context, _calculate_confidence, _identify_required_tasks, _create_planned_tasks, _determine_phase, _determine_priority, _determine_dependencies, _prepare_input_data, _organize_phases, _estimate_duration, record_failure, record_success, can_execute, get_circuit_breaker, _generate_recommendations, _generate_audit_hash, _plan_to_dict, _result_to_dict, get_supported_industries, get_task_agent_mapping, execute","asyncio, hashlib, json, logging, re, os, statistics, datetime, typing, uuid, enum, pathlib","","Meta(FB/IG)","Campañas/Ads | Budget/Bids | A/B Testing | Audiencias/Segmentación | Attribution/Modelos | Reportes/Métricas | Políticas/Compliance | Orquestación","61","Meta: No se ve access_token (necesario para Graph API).  |  Meta: No se ve facebook_business SDK ni llamadas HTTP a Graph API."
"cashofferfilteria.py",".\agents\marketing\cashofferfilteria.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, CashOfferFilterAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _compliance_blocked, health_check, _self_test_examples","timedatetime typing enum .layers.decision_layer_v2 .layers.error_handling_layer .layers.compliance_layer .layers.business_impact_layer .layers.audit_trail_layer nadakki_operative_final","","Generic","Políticas/Compliance | Orquestación","100",""
"channelattributia.py",".\agents\marketing\channelattributia.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, ChannelAttributAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _validation_err, _compliance_blocked, health_check, _self_test_examples","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","Meta(FB/IG)","Budget/Bids | Attribution/Modelos | Reportes/Métricas | Políticas/Compliance | Orquestación","61","Meta: No se ve access_token (necesario para Graph API).  |  Meta: No se ve facebook_business SDK ni llamadas HTTP a Graph API."
"competitoranalyzeria.py",".\agents\marketing\competitoranalyzeria.py","CircuitBreaker, ActionType, PriorityLevel, ComplianceStatus, CompetitorAnalyzerAgentOperative","apply_decision_layer, validate_input, apply_error_handling, apply_compliance_checks, quantify_business_impact, generate_audit_trail, __init__, allow_request, record_success, record_failure, get_state, get_config, execute, _error_resp, _validation_err, _compliance_blocked, health_check, _self_test_examples","time, hashlib, json, datetime, typing, enum, .layers.decision_layer_v2, .layers.error_handling_layer, .layers.compliance_layer, .layers.business_impact_layer, .layers.audit_trail_layer, agents.marketing.layers.decision_layer_v2","","Generic","Reportes/Métricas | Políticas/Compliance | Orquestación","100",""
